i,speech_id,raw_primary,error
0,2022-11-21 00:00:00,"{
  ""speaker"": ""Nikolaj Villumsen"",
  ""party"": ""GUE/NGL"",
  ""topics"": [
    ""sport"",
    ""arbejdere"",
    ""diktatur""
  ],
  ""triples"": [
    {
      ""subject"": ""Nikolaj Villumsen"",
      ""predicate"": ""mentions_topic"",
      ""object"": ""sport""
    },
    {
      ""subject"": ""Nikolaj Villumsen"",
      ""predicate"": ""mentions_topic"",
      ""object"": ""arbejdere""
    },
    {
      ""subject"": ""Nikolaj Villumsen"",
      ""predicate"": ""mentions_topic"",
      ""object"": ""diktatur""
    }
  ],
  ""meta"": {
    ""speech_id"": ""2022-11-21 00:00:00"",
    ""year"": 2022
  }
}",
1,2013-03-13 00:00:00,"{
  ""speaker"": ""Anne E. Jensen"",
  ""party"": ""ALDE"",
  ""topics"": [
    ""budget"",
    ""forskning"",
    ""landbrug""
  ],
  ""triples"": [
    {
      ""subject"": ""Anne E. Jensen"",
      ""predicate"": ""mentions_topic"",
      ""object"": ""budget""
    },
    {
      ""subject"": ""Anne E. Jensen"",
      ""predicate"": ""mentions_topic"",
      ""object"": ""forskning""
    },
    {
      ""subject"": ""Anne E. Jensen"",
      ""predicate"": ""mentions_topic"",
      ""object"": ""landbrug""
    }
  ],
  ""meta"": {
    ""speech_id"": ""2013-03-13 00:00:00"",
    ""year"": 2013
  }
}",
2,2021-05-17 00:00:00,"{
  ""speaker"": ""Niels Fuglsang"",
  ""party"": ""S&D"",
  ""topics"": [
    ""energi"",
    ""klima"",
    ""brint""
  ],
  ""triples"": [
    {
      ""subject"": ""Niels Fuglsang"",
      ""predicate"": ""mentions_topic"",
      ""object"": ""energi""
    },
    {
      ""subject"": ""Niels Fuglsang"",
      ""predicate"": ""mentions_topic"",
      ""object"": ""klima""
    },
    {
      ""subject"": ""Niels Fuglsang"",
      ""predicate"": ""mentions_topic"",
      ""object"": ""brint""
    }
  ],
  ""meta"": {
    ""speech_id"": ""2021-05-17 00:00:00"",
    ""year"": 2021
  }
}",
3,2021-12-16 00:00:00,"{
  ""speaker"": ""Niels Fuglsang"",
  ""party"": ""S&D"",
  ""topics"": [
    ""dyr"",
    ""cirkus"",
    ""forbud""
  ],
  ""triples"": [
    {
      ""subject"": ""Niels Fuglsang"",
      ""predicate"": ""mentions_topic"",
      ""object"": ""dyr""
    },
    {
      ""subject"": ""Niels Fuglsang"",
      ""predicate"": ""mentions_topic"",
      ""object"": ""cirkus""
    },
    {
      ""subject"": ""Niels Fuglsang"",
      ""predicate"": ""mentions_topic"",
      ""object"": ""forbud""
    }
  ],
  ""meta"": {
    ""speech_id"": ""2021-12-16 00:00:00"",
    ""year"": 2021
  }
}",
4,2022-10-03 00:00:00,"{
  ""speaker"": ""Pernille Weiss"",
  ""party"": ""PPE"",
  ""topics"": [
    ""hav"",
    ""energi"",
    ""økonomi""
  ],
  ""triples"": [
    {
      ""subject"": ""Pernille Weiss"",
      ""predicate"": ""mentions_topic"",
      ""object"": ""hav""
    },
    {
      ""subject"": ""Pernille Weiss"",
      ""predicate"": ""mentions_topic"",
      ""object"": ""energi""
    },
    {
      ""subject"": ""Pernille Weiss"",
      ""predicate"": ""mentions_topic"",
      ""object"": ""økonomi""
    }
  ],
  ""meta"": {
    ""speech_id"": ""2022-10-03 00:00:00"",
    ""year"": 2022
  }
}",
5,2020-02-10 00:00:00,,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 250, model: gemini-2.5-flash
Please retry in 31.85943396s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 250
}
, retry_delay {
  seconds: 31
}
]"
6,2016-05-11 00:00:00,,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 250, model: gemini-2.5-flash
Please retry in 31.784237174s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 250
}
, retry_delay {
  seconds: 31
}
]"
7,2017-09-14 00:00:00,,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 250, model: gemini-2.5-flash
Please retry in 31.713459194s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 250
}
, retry_delay {
  seconds: 31
}
]"
8,2020-01-29 00:00:00,,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 250, model: gemini-2.5-flash
Please retry in 31.634491725s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 250
}
, retry_delay {
  seconds: 31
}
]"
9,2021-11-22 00:00:00,,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 250, model: gemini-2.5-flash
Please retry in 31.550316114s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 250
}
, retry_delay {
  seconds: 31
}
]"
10,2022-12-15 00:00:00,,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 250, model: gemini-2.5-flash
Please retry in 31.471437273s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 250
}
, retry_delay {
  seconds: 31
}
]"
11,2022-04-06 00:00:00,,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 250, model: gemini-2.5-flash
Please retry in 31.388885843s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 250
}
, retry_delay {
  seconds: 31
}
]"
12,2013-04-18 00:00:00,,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 250, model: gemini-2.5-flash
Please retry in 31.302006215s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 250
}
, retry_delay {
  seconds: 31
}
]"
13,2020-10-22 00:00:00,,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 250, model: gemini-2.5-flash
Please retry in 31.230648558s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 250
}
, retry_delay {
  seconds: 31
}
]"
14,2016-03-10 00:00:00,,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 250, model: gemini-2.5-flash
Please retry in 31.156159145s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 250
}
, retry_delay {
  seconds: 31
}
]"
15,2016-02-03 00:00:00,,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 250, model: gemini-2.5-flash
Please retry in 31.083849054s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 250
}
, retry_delay {
  seconds: 31
}
]"
16,2021-06-09 00:00:00,,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 250, model: gemini-2.5-flash
Please retry in 30.998024059s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 250
}
, retry_delay {
  seconds: 30
}
]"
