source,target,weight
speaker::Nikolaj Villumsen,topic::sport,1
speaker::Nikolaj Villumsen,topic::migration,3
speaker::Nikolaj Villumsen,topic::rettighed,1
speaker::Nikolaj Villumsen,topic::flygtninge,3
speaker::Nikolaj Villumsen,topic::børn,1
speaker::Nikolaj Villumsen,topic::menneskerettighed,1
speaker::Nikolaj Villumsen,topic::tyrki,1
speaker::Nikolaj Villumsen,topic::demokrati,1
speaker::Nikolaj Villumsen,topic::eu-støtte,1
speaker::Nikolaj Villumsen,topic::krig,1
speaker::Nikolaj Villumsen,topic::solidarit,1
speaker::Nikolaj Villumsen,topic::arbejdsmiljø,1
speaker::Nikolaj Villumsen,topic::sundhed,1
speaker::Nikolaj Villumsen,topic::sikkerhed,1
speaker::Nikolaj Villumsen,topic::arbejde,1
speaker::Nikolaj Villumsen,topic::ulighed,1
speaker::Nikolaj Villumsen,topic::fagbevægelse,1
speaker::Nikolaj Villumsen,topic::klima,1
speaker::Nikolaj Villumsen,topic::bil,1
speaker::Nikolaj Villumsen,topic::energi,1
topic::migration,speaker::Anne E. Jensen,1
topic::migration,speaker::Pernille Weiss,2
topic::migration,speaker::Peter Kofod,3
topic::rettighed,speaker::Margrete Auken,1
topic::rettighed,speaker::Pernille Weiss,1
speaker::Anne E. Jensen,topic::budg,2
speaker::Anne E. Jensen,topic::forskning,1
speaker::Anne E. Jensen,topic::landbrug,1
speaker::Anne E. Jensen,topic::økonomi,1
topic::landbrug,speaker::Asger Christensen,4
topic::landbrug,speaker::Pernille Weiss,1
topic::landbrug,speaker::Jørn Dohrmann,1
speaker::Niels Fuglsang,topic::energi,2
speaker::Niels Fuglsang,topic::klima,1
speaker::Niels Fuglsang,topic::brint,1
speaker::Niels Fuglsang,topic::dyr,1
speaker::Niels Fuglsang,topic::cirkus,1
speaker::Niels Fuglsang,topic::velfærd,1
speaker::Niels Fuglsang,topic::gas,1
speaker::Niels Fuglsang,topic::uafhængighed,1
speaker::Niels Fuglsang,topic::skat,1
speaker::Niels Fuglsang,topic::økonomi,1
speaker::Niels Fuglsang,topic::politik,1
topic::energi,speaker::Pernille Weiss,2
topic::energi,speaker::Morten Petersen,2
topic::energi,speaker::Morten Helveg Petersen,1
topic::energi,speaker::Christel Schaldemose,1
topic::energi,speaker::Asger Christensen,1
topic::energi,speaker::Bendt Bendtsen,2
topic::klima,speaker::Morten Helveg Petersen,1
topic::klima,speaker::Morten Petersen,1
topic::klima,speaker::Christel Schaldemose,3
topic::klima,speaker::Margrete Auken,2
topic::klima,speaker::Asger Christensen,4
topic::klima,speaker::Pernille Weiss,4
topic::klima,speaker::Bendt Bendtsen,1
topic::klima,speaker::Marianne Vind,1
topic::velfærd,speaker::Jeppe Kofod,1
topic::velfærd,speaker::Peter Kofod,1
topic::velfærd,speaker::Emilie Turunen,1
speaker::Pernille Weiss,topic::hav,1
speaker::Pernille Weiss,topic::økonomi,5
speaker::Pernille Weiss,topic::miljø,2
speaker::Pernille Weiss,topic::innovation,1
speaker::Pernille Weiss,topic::iværksætteri,1
speaker::Pernille Weiss,topic::kvind,1
speaker::Pernille Weiss,topic::natur,1
speaker::Pernille Weiss,topic::biodiversit,1
speaker::Pernille Weiss,topic::jagt,1
speaker::Pernille Weiss,topic::industri,1
speaker::Pernille Weiss,topic::sundhed,2
speaker::Pernille Weiss,topic::krise,1
speaker::Pernille Weiss,topic::beredskab,1
speaker::Pernille Weiss,topic::integration,1
speaker::Pernille Weiss,topic::pandemi,1
speaker::Pernille Weiss,topic::ligestilling,1
speaker::Pernille Weiss,topic::udenrigspolitik,1
speaker::Pernille Weiss,topic::sikkerhedspolitik,1
speaker::Pernille Weiss,topic::virksomhed,2
speaker::Pernille Weiss,topic::handel,1
speaker::Pernille Weiss,topic::pas,1
speaker::Pernille Weiss,topic::rejse,1
topic::økonomi,speaker::Margrete Auken,1
topic::økonomi,speaker::Marianne Vind,1
topic::økonomi,speaker::Christel Schaldemose,1
topic::økonomi,speaker::Rina Ronja Kari,1
topic::økonomi,speaker::Jørn Dohrmann,1
topic::økonomi,speaker::Bendt Bendtsen,1
topic::økonomi,speaker::Morten Løkkegaard,1
