speech_id,year,speaker,party,topic
2022-05-18 00:00:00,2022,Niels Fuglsang,S&D,politik
2021-10-05 00:00:00,2021,Pernille Weiss,PPE,krise
2020-10-20 00:00:00,2020,Asger Christensen,ALDE,klima
2022-03-09 00:00:00,2022,Marianne Vind,,sikkerhed
2022-07-07 00:00:00,2022,Marianne Vind,S&D,luftfart
2016-05-11 00:00:00,2016,Rina Ronja Kari,GUE/NGL,overvågning
2022-10-05 00:00:00,2022,Marianne Vind,S&D,demokrati
2012-12-11 00:00:00,2012,"Ole Christensen, Dan Jørgensen, Christel Schaldemose og Britta Thomsen",S&D,marked
2022-06-07 00:00:00,2022,Nikolaj Villumsen,GUE/NGL,energi
2020-02-10 00:00:00,2020,Pernille Weiss,PPE,handel
2019-04-16 00:00:00,2019,Rina Ronja Kari,GUE/NGL,arbejde
2022-05-02 00:00:00,2022,Pernille Weiss,,kvind
2015-04-28 00:00:00,2015,Margrete Auken,,affald
2016-10-04 00:00:00,2016,Morten Messerschmidt,ECR,eu
2016-10-04 00:00:00,2016,Morten Messerschmidt,ECR,regl
